game_id,inning,team,true_outcome,anything_else,true_outcome_result,var,value
ANA201704220,6,0,0.0,4,-4.0,visteam,TOR
ANA201704220,7,0,0.0,3,-3.0,visteam,TOR
ANA201704220,8,0,4.0,3,1.0,visteam,TOR
ANA201704220,9,0,4.0,2,2.0,visteam,TOR
ANA201704220,1,1,2.0,5,-3.0,hometeam,ANA
ANA201704220,2,1,2.0,4,-2.0,hometeam,ANA
ANA201704220,3,1,6.0,4,2.0,hometeam,ANA
ANA201704220,4,1,0.0,4,-4.0,hometeam,ANA
ANA201704220,5,1,2.0,2,0.0,hometeam,ANA
ANA201704220,6,1,2.0,2,0.0,hometeam,ANA
ANA201704220,7,1,2.0,4,-2.0,hometeam,ANA
ANA201704220,8,1,0.0,3,-3.0,hometeam,ANA
ANA201704230,1,0,2.0,3,-1.0,visteam,TOR
ANA201704230,2,0,2.0,2,0.0,visteam,TOR
ANA201704230,3,0,2.0,3,-1.0,visteam,TOR
ANA201704230,4,0,2.0,3,-1.0,visteam,TOR
ANA201704230,5,0,2.0,3,-1.0,visteam,TOR
ANA201704230,6,0,6.0,0,6.0,visteam,TOR
ANA201704230,7,0,2.0,2,0.0,visteam,TOR
ANA201704230,8,0,8.0,5,3.0,visteam,TOR
ANA201704230,9,0,8.0,1,7.0,visteam,TOR
ANA201704230,1,1,0.0,5,-5.0,hometeam,ANA
ANA201704230,2,1,0.0,3,-3.0,hometeam,ANA
ANA201704230,3,1,4.0,4,0.0,hometeam,ANA
ANA201704230,4,1,0.0,3,-3.0,hometeam,ANA
ANA201704230,5,1,0.0,3,-3.0,hometeam,ANA
ANA201704230,6,1,6.0,0,6.0,hometeam,ANA
ANA201704230,7,1,0.0,3,-3.0,hometeam,ANA
ANA201704230,8,1,2.0,2,0.0,hometeam,ANA
ANA201704230,9,1,2.0,4,-2.0,hometeam,ANA
ANA201704240,1,0,6.0,2,4.0,visteam,TOR
ANA201704240,2,0,4.0,2,2.0,visteam,TOR
ANA201704240,3,0,4.0,3,1.0,visteam,TOR
ANA201704240,4,0,4.0,2,2.0,visteam,TOR
ANA201704240,5,0,0.0,3,-3.0,visteam,TOR
ANA201704240,6,0,6.0,1,5.0,visteam,TOR
ANA201704240,7,0,0.0,4,-4.0,visteam,TOR
ANA201704240,8,0,0.0,4,-4.0,visteam,TOR
ANA201704240,9,0,4.0,2,2.0,visteam,TOR
ANA201704240,1,1,2.0,3,-1.0,hometeam,ANA
ANA201704240,2,1,2.0,2,0.0,hometeam,ANA
ANA201704240,3,1,2.0,3,-1.0,hometeam,ANA
ANA201704240,4,1,0.0,4,-4.0,hometeam,ANA
ANA201704240,5,1,4.0,5,-1.0,hometeam,ANA
ANA201704240,6,1,8.0,2,6.0,hometeam,ANA
ANA201704240,7,1,2.0,2,0.0,hometeam,ANA
ANA201704240,8,1,0.0,3,-3.0,hometeam,ANA
ANA201704250,1,0,4.0,1,3.0,visteam,OAK
ANA201704250,2,0,0.0,3,-3.0,visteam,OAK
ANA201704250,3,0,0.0,3,-3.0,visteam,OAK
ANA201704250,4,0,2.0,3,-1.0,visteam,OAK
ANA201704250,5,0,4.0,2,2.0,visteam,OAK
ANA201704250,6,0,6.0,1,5.0,visteam,OAK
ANA201704250,7,0,2.0,3,-1.0,visteam,OAK
ANA201704250,8,0,6.0,1,5.0,visteam,OAK
ANA201704250,9,0,4.0,1,3.0,visteam,OAK
ANA201704250,10,0,2.0,3,-1.0,visteam,OAK
ANA201704250,11,0,0.0,4,-4.0,visteam,OAK
ANA201704250,1,1,2.0,3,-1.0,hometeam,ANA
ANA201704250,2,1,2.0,2,0.0,hometeam,ANA
ANA201704250,3,1,4.0,1,3.0,hometeam,ANA
ANA201704250,4,1,2.0,2,0.0,hometeam,ANA
ANA201704250,5,1,2.0,3,-1.0,hometeam,ANA
ANA201704250,6,1,0.0,3,-3.0,hometeam,ANA
ANA201704250,7,1,2.0,2,0.0,hometeam,ANA
ANA201704250,8,1,2.0,3,-1.0,hometeam,ANA
ANA201704250,9,1,2.0,2,0.0,hometeam,ANA
ANA201704250,10,1,4.0,4,0.0,hometeam,ANA
ANA201704250,11,1,0.0,4,-4.0,hometeam,ANA
ANA201704260,1,0,6.0,5,1.0,visteam,OAK
ANA201704260,2,0,0.0,5,-5.0,visteam,OAK
ANA201704260,3,0,6.0,1,5.0,visteam,OAK
ANA201704260,4,0,0.0,3,-3.0,visteam,OAK
ANA201704260,5,0,4.0,2,2.0,visteam,OAK
ANA201704260,6,0,2.0,5,-3.0,visteam,OAK
ANA201704260,7,0,4.0,1,3.0,visteam,OAK
ANA201704260,8,0,10.0,0,10.0,visteam,OAK
ANA201704260,9,0,4.0,1,3.0,visteam,OAK
ANA201704260,1,1,0.0,3,-3.0,hometeam,ANA
ANA201704260,2,1,2.0,6,-4.0,hometeam,ANA
ANA201704260,3,1,6.0,3,3.0,hometeam,ANA
ANA201704260,4,1,0.0,4,-4.0,hometeam,ANA
ANA201704260,5,1,4.0,5,-1.0,hometeam,ANA
ANA201704260,6,1,2.0,3,-1.0,hometeam,ANA
ANA201704260,7,1,8.0,7,1.0,hometeam,ANA
ANA201704260,8,1,2.0,2,0.0,hometeam,ANA
ANA201704270,1,0,0.0,3,-3.0,visteam,OAK
ANA201704270,2,0,2.0,3,-1.0,visteam,OAK
ANA201704270,3,0,2.0,2,0.0,visteam,OAK
ANA201704270,4,0,2.0,4,-2.0,visteam,OAK
ANA201704270,5,0,2.0,2,0.0,visteam,OAK
ANA201704270,6,0,6.0,3,3.0,visteam,OAK
ANA201704270,7,0,2.0,2,0.0,visteam,OAK
ANA201704270,8,0,2.0,2,0.0,visteam,OAK
ANA201704270,9,0,4.0,2,2.0,visteam,OAK
ANA201704270,1,1,0.0,6,-6.0,hometeam,ANA
ANA201704270,2,1,0.0,3,-3.0,hometeam,ANA
ANA201704270,3,1,0.0,3,-3.0,hometeam,ANA
ANA201704270,4,1,0.0,3,-3.0,hometeam,ANA
ANA201704270,5,1,2.0,3,-1.0,hometeam,ANA
ANA201704270,6,1,4.0,1,3.0,hometeam,ANA
ANA201704270,7,1,0.0,3,-3.0,hometeam,ANA
ANA201704270,8,1,0.0,4,-4.0,hometeam,ANA
ANA201705050,1,0,4.0,2,2.0,visteam,HOU
ANA201705050,2,0,4.0,2,2.0,visteam,HOU
ANA201705050,3,0,4.0,2,2.0,visteam,HOU
ANA201705050,4,0,0.0,3,-3.0,visteam,HOU
ANA201705050,5,0,2.0,2,0.0,visteam,HOU
ANA201705050,6,0,0.0,3,-3.0,visteam,HOU
ANA201705050,7,0,2.0,5,-3.0,visteam,HOU
ANA201705050,8,0,0.0,4,-4.0,visteam,HOU
ANA201705050,9,0,2.0,4,-2.0,visteam,HOU
ANA201705050,10,0,2.0,5,-3.0,visteam,HOU
ANA201705050,1,1,0.0,4,-4.0,hometeam,ANA
ANA201705050,2,1,4.0,2,2.0,hometeam,ANA
ANA201705050,3,1,4.0,1,3.0,hometeam,ANA
ANA201705050,4,1,2.0,2,0.0,hometeam,ANA
ANA201705050,5,1,0.0,3,-3.0,hometeam,ANA
