1,10,2,3,4,5,6,7,8,9,game_id,home_away
nolar001,pujoa001,maldm001,cronc002,cowak001,valbl001,simma001,reveb001,troum001,calhk001,ANA201708220,home
rosst001,choos001,chirr001,napom001,odorr001,belta001,andre001,robid003,deshd002,mazan001,ANA201708220,away
heana001,pujoa001,maldm001,cronc002,cowak001,valbl001,simma001,maybc001,troum001,calhk001,ANA201708230,home
casha001,choos001,chirr001,napom001,odorr001,belta001,andre001,rua-r001,deshd002,mazan001,ANA201708230,away
scrit001,pujoa001,gratj001,cronc002,pennc001,martj007,simma001,maybc001,troum001,calhk001,ANA201708240,home
perem004,belta001,nichb001,napom001,odorr001,robid003,andre001,mazan001,deshd002,choos001,ANA201708240,away
bridp001,pujoa001,maldm001,cronc002,cowak001,valbl001,simma001,maybc001,troum001,calhk001,ANA201708250,home
mchuc001,beltc001,gatte001,gurry001,gonzm002,davij006,brega001,fishd001,sprig001,reddj001,ANA201708250,away
skagt001,pujoa001,maldm001,cronc002,cowak001,valbl001,simma001,maybc001,troum001,calhk001,ANA201708260,home
peacb001,beltc001,mccab002,gurry001,altuj001,davij006,brega001,reddj001,marij002,sprig001,ANA201708260,away
nolar001,pujoa001,maldm001,cronc002,pennc001,valbl001,simma001,reveb001,troum001,calhk001,ANA201708270,home
mortc002,mccab002,gatte001,gurry001,altuj001,brega001,gonzm002,reddj001,marij002,sprig001,ANA201708270,away
heana001,pujoa001,maldm001,cronc002,cowak001,valbl001,simma001,reveb001,maybc001,calhk001,ANA201708280,home
gossd001,lowrj001,garnd001,healr001,pindc001,chapm001,semim001,davik003,canhm001,joycm001,ANA201708280,away
scrit001,pujoa001,maldm001,cronc002,cowak001,valbl001,simma001,reveb001,maybc001,calhk001,ANA201708290,home
smitc002,healr001,maxwb001,olsom001,lowrj001,chapm001,semim001,davik003,poweb002,joycm001,ANA201708290,away
bridp001,pujoa001,maldm001,cronc002,cowak001,valbl001,pennc001,reveb001,troum001,calhk001,ANA201708300,home
gravk001,healr001,maxwb001,olsom001,lowrj001,chapm001,semim001,davik003,poweb002,joycm001,ANA201708300,away
richg002,pujoa001,maldm001,cronc002,philb001,valbl001,simma001,uptoj001,troum001,calhk001,ANA201709120,home
verlj001,beltc001,mccab002,gurry001,altuj001,brega001,corrc001,gonzm002,sprig001,reddj001,ANA201709120,away
skagt001,pujoa001,maldm001,cronc002,philb001,valbl001,simma001,uptoj001,troum001,calhk001,ANA201709130,home
fierm001,gatte001,stasm001,gurry001,altuj001,brega001,corrc001,maybc001,marij002,sprig001,ANA201709130,away
nolar001,pujoa001,maldm001,cronc002,philb001,valbl001,simma001,uptoj001,troum001,calhk001,ANA201709140,home
peacb001,beltc001,mccab002,gurry001,altuj001,brega001,corrc001,gonzm002,sprig001,reddj001,ANA201709140,away
norrb001,pujoa001,maldm001,cronc002,philb001,valbl001,simma001,uptoj001,troum001,calhk001,ANA201709150,home
martn002,belta001,nichb001,gallj002,odorr001,middw001,andre001,mazan001,deshd002,choos001,ANA201709150,away
bridp001,pujoa001,maldm001,cronc002,pennc001,valbl001,simma001,uptoj001,troum001,calhk001,ANA201709160,home
hamec001,belta001,chirr001,gallj002,odorr001,robid003,andre001,calhw001,deshd002,choos001,ANA201709160,away
richg002,pujoa001,maldm001,cronc002,cowak001,valbl001,simma001,uptoj001,troum001,calhk001,ANA201709170,home
gonzm003,belta001,chirr001,gallj002,odorr001,robid003,andre001,mazan001,deshd002,choos001,ANA201709170,away
skagt001,pujoa001,maldm001,cronc002,philb001,valbl001,simma001,uptoj001,troum001,calhk001,ANA201709190,home
clevm001,encae001,perer003,santc002,ramij003,diazy001,lindf001,jacka001,kipnj001,brucj001,ANA201709190,away
nolar001,pujoa001,maldm001,cronc002,philb001,valbl001,simma001,uptoj001,troum001,calhk001,ANA201709200,home
tomlj001,encae001,perer003,santc002,ramij003,urshg001,lindf001,jacka001,kipnj001,brucj001,ANA201709200,away
bridp001,pujoa001,maldm001,cronc002,philb001,valbl001,simma001,uptoj001,troum001,calhk001,ANA201709210,home
salad001,encae001,gomey001,santc002,gonze004,urshg001,lindf001,almoa001,alleg002,brucj001,ANA201709210,away
skagt001,pujoa001,gratj001,cronc002,philb001,pennc001,simma001,uptoj001,troum001,calhk001,ANA201709290,home
gonzm005,cruzn002,zunim001,valed001,canor001,seagk001,seguj002,gameb001,hanim001,mottt001,ANA201709290,away
nolar001,pujoa001,maldm001,cronc002,philb001,valbl001,simma001,uptoj001,troum001,calhk001,ANA201709300,home
albea001,cruzn002,ruizc001,alony001,canor001,seagk001,beckg001,gameb001,hannj002,hanim001,ANA201709300,away
gausk001,trumm001,castw002,davic003,schoj001,machm001,hardj003,kim-h001,jonea003,smits002,BAL201704030,home
estrm001,morak001,martr004,pears001,travd001,donaj001,tulot001,carre001,pillk001,bautj002,BAL201704030,away
bundd001,trumm001,castw002,davic003,schoj001,machm001,hardj003,rickj001,jonea003,manct001,BAL201704050,home
happj001,morak001,martr004,smoaj001,travd001,donaj001,tulot001,pears001,pillk001,bautj002,BAL201704050,away
jimeu001,trumm001,castw002,davic003,schoj001,machm001,hardj003,kim-h001,jonea003,smits002,BAL201704070,home
sevel001,hollm001,sancg002,birdg001,casts001,headc001,torrr001,gardb001,ellsj001,judga001,BAL201704070,away
gausk001,trumm001,castw002,davic003,schoj001,machm001,hardj003,kim-h001,jonea003,smits002,BAL201704080,home
tanam001,hollm001,sancg002,cartc002,casts001,headc001,torrr001,gardb001,ellsj001,hicka001,BAL201704080,away
milew001,manct001,josec002,davic003,schoj001,machm001,hardj003,gentc001,jonea003,trumm001,BAL201704090,home
sabac001,hollm001,romia002,cartc002,casts001,headc001,torrr001,gardb001,hicka001,judga001,BAL201704090,away
bundd001,manct001,castw002,davic003,schoj001,machm001,hardj003,gentc001,jonea003,trumm001,BAL201704210,home
pomed001,ramih003,vazqc001,morem001,pedrd001,sandp001,hernm003,benia002,bradj001,bettm001,BAL201704210,away
aquij001,manct001,josec002,davic003,schoj001,machm001,hardj003,gentc001,jonea003,trumm001,BAL201704220,home
wrigs001,ramih003,leons001,morem001,hernm003,sandp001,bogax001,younc004,bradj001,bettm001,BAL201704220,away
gausk001,manct001,castw002,davic003,schoj001,machm001,hardj003,gentc001,jonea003,trumm001,BAL201704230,home
rodre004,ramih003,vazqc001,morem001,hernm003,sandp001,bogax001,benia002,bradj001,bettm001,BAL201704230,away
jimeu001,trumm001,castw002,davic003,schoj001,machm001,hardj003,kim-h001,jonea003,smits002,BAL201704240,home
archc001,dickc002,norrd001,morrl001,millb002,longe001,beckt001,petes002,kierk001,souzs001,BAL201704240,away
milew001,trumm001,josec002,davic003,schoj001,machm001,hardj003,kim-h001,jonea003,smits002,BAL201704250,home
pruia001,weekr001,norrd001,morrl001,millb002,longe001,beckt001,bourp001,kierk001,souzs001,BAL201704250,away
bundd001,trumm001,castw002,davic003,schoj001,machm001,flahr001,kim-h001,jonea003,smits002,BAL201704260,home
cobba001,dickc002,norrd001,morrl001,millb002,longe001,beckt001,petes002,kierk001,souzs001,BAL201704260,away
milew001,trumm001,josec002,davic003,schoj001,machm001,hardj003,kim-h001,jonea003,smits002,BAL201705050,home
gonzm003,garca003,narvo001,abrej003,salat001,davim005,andet001,cabrm002,garcl004,garcw001,BAL201705050,away
