game_id,var,value
ANA201705060,ump1b,carlm901
ANA201705060,ump2b,fagac901
ANA201705060,ump3b,gonzm901
ANA201705060,howscored,park
ANA201705060,pitches,pitches
ANA201705060,oscorer,franm701
ANA201705060,temp,63
ANA201705060,winddir,tocf
ANA201705060,windspeed,8
ANA201705060,fieldcond,unknown
ANA201705060,precip,unknown
ANA201705060,sky,unknown
ANA201705060,timeofgame,167
ANA201705060,attendance,41097
ANA201705060,wp,norrb001
ANA201705060,lp,devec001
ANA201705060,save,
ANA201705060,hometeam_score,1
ANA201705060,awayteam_score,1
ANA201705070,visteam,HOU
ANA201705070,hometeam,ANA
ANA201705070,site,ANA01
ANA201705070,date,2017/05/07
ANA201705070,number,0
ANA201705070,starttime,12:38PM
ANA201705070,daynight,day
ANA201705070,usedh,true
ANA201705070,umphome,carlm901
ANA201705070,ump1b,fagac901
ANA201705070,ump2b,gonzm901
ANA201705070,ump3b,culbf901
ANA201705070,howscored,park
ANA201705070,pitches,pitches
ANA201705070,oscorer,munse701
ANA201705070,temp,63
ANA201705070,winddir,rtol
ANA201705070,windspeed,8
ANA201705070,fieldcond,unknown
ANA201705070,precip,unknown
ANA201705070,sky,unknown
ANA201705070,timeofgame,180
ANA201705070,attendance,38385
ANA201705070,wp,fierm001
ANA201705070,lp,shoem001
ANA201705070,save,gilek001
ANA201705070,hometeam_score,3
ANA201705070,awayteam_score,5
ANA201705110,visteam,DET
ANA201705110,hometeam,ANA
ANA201705110,site,ANA01
ANA201705110,date,2017/05/11
ANA201705110,number,0
ANA201705110,starttime,7:08PM
ANA201705110,daynight,night
ANA201705110,usedh,true
ANA201705110,umphome,wintm901
ANA201705110,ump1b,wegnm901
ANA201705110,ump2b,muchm901
ANA201705110,ump3b,fostm901
ANA201705110,howscored,park
ANA201705110,pitches,pitches
ANA201705110,oscorer,munse701
ANA201705110,temp,71
ANA201705110,winddir,tocf
ANA201705110,windspeed,6
ANA201705110,fieldcond,unknown
ANA201705110,precip,unknown
ANA201705110,sky,sunny
ANA201705110,timeofgame,180
ANA201705110,attendance,30207
ANA201705110,wp,fulmm001
ANA201705110,lp,ramij002
ANA201705110,save,
ANA201705110,hometeam_score,1
ANA201705110,awayteam_score,7
ANA201705120,visteam,DET
ANA201705120,hometeam,ANA
ANA201705120,site,ANA01
ANA201705120,date,2017/05/12
ANA201705120,number,0
ANA201705120,starttime,7:08PM
ANA201705120,daynight,night
ANA201705120,usedh,true
ANA201705120,umphome,wegnm901
ANA201705120,ump1b,muchm901
ANA201705120,ump2b,fostm901
ANA201705120,ump3b,wintm901
ANA201705120,howscored,park
ANA201705120,pitches,pitches
ANA201705120,oscorer,munse701
ANA201705120,temp,66
ANA201705120,winddir,tocf
ANA201705120,windspeed,9
ANA201705120,fieldcond,unknown
ANA201705120,precip,unknown
ANA201705120,sky,sunny
ANA201705120,timeofgame,184
ANA201705120,attendance,44311
ANA201705120,wp,shoem001
ANA201705120,lp,zimmj003
ANA201705120,save,
ANA201705120,hometeam_score,7
ANA201705120,awayteam_score,0
ANA201705130,visteam,DET
ANA201705130,hometeam,ANA
ANA201705130,site,ANA01
ANA201705130,date,2017/05/13
ANA201705130,number,0
ANA201705130,starttime,6:07PM
ANA201705130,daynight,night
ANA201705130,usedh,true
ANA201705130,umphome,muchm901
ANA201705130,ump1b,fostm901
ANA201705130,ump2b,wintm901
ANA201705130,ump3b,wegnm901
ANA201705130,howscored,park
ANA201705130,pitches,pitches
ANA201705130,oscorer,franm701
ANA201705130,temp,72
ANA201705130,winddir,tocf
ANA201705130,windspeed,8
ANA201705130,fieldcond,unknown
ANA201705130,precip,unknown
ANA201705130,sky,sunny
ANA201705130,timeofgame,194
ANA201705130,attendance,40251
ANA201705130,wp,wilsa001
ANA201705130,lp,norrb001
ANA201705130,save,wilsj004
ANA201705130,hometeam_score,3
ANA201705130,awayteam_score,4
ANA201705140,visteam,DET
ANA201705140,hometeam,ANA
ANA201705140,site,ANA01
ANA201705140,date,2017/05/14
ANA201705140,number,0
ANA201705140,starttime,12:38PM
ANA201705140,daynight,day
ANA201705140,usedh,true
ANA201705140,umphome,fostm901
ANA201705140,ump1b,wintm901
ANA201705140,ump2b,whitc901
ANA201705140,ump3b,muchm901
ANA201705140,howscored,park
ANA201705140,pitches,pitches
ANA201705140,oscorer,munse701
ANA201705140,temp,70
ANA201705140,winddir,rtol
ANA201705140,windspeed,12
ANA201705140,fieldcond,unknown
ANA201705140,precip,unknown
ANA201705140,sky,cloudy
ANA201705140,timeofgame,189
ANA201705140,attendance,36215
ANA201705140,wp,meyea001
ANA201705140,lp,verlj001
ANA201705140,save,norrb001
ANA201705140,hometeam_score,4
ANA201705140,awayteam_score,1
ANA201705150,visteam,CHA
ANA201705150,hometeam,ANA
ANA201705150,site,ANA01
ANA201705150,date,2017/05/15
ANA201705150,number,0
ANA201705150,starttime,7:08PM
ANA201705150,daynight,night
ANA201705150,usedh,true
ANA201705150,umphome,dimum901
ANA201705150,ump1b,gibsh902
ANA201705150,ump2b,gormb901
ANA201705150,ump3b,iassd901
ANA201705150,howscored,park
ANA201705150,pitches,pitches
ANA201705150,oscorer,munse701
ANA201705150,temp,62
ANA201705150,winddir,tocf
ANA201705150,windspeed,7
ANA201705150,fieldcond,unknown
ANA201705150,precip,unknown
ANA201705150,sky,unknown
ANA201705150,timeofgame,181
ANA201705150,attendance,29445
ANA201705150,wp,chavj001
ANA201705150,lp,pelfm001
ANA201705150,save,norrb001
ANA201705150,hometeam_score,5
ANA201705150,awayteam_score,3
ANA201705160,visteam,CHA
ANA201705160,hometeam,ANA
ANA201705160,site,ANA01
ANA201705160,date,2017/05/16
ANA201705160,number,0
ANA201705160,starttime,7:07PM
ANA201705160,daynight,night
ANA201705160,usedh,true
ANA201705160,umphome,gibsh902
ANA201705160,ump1b,gormb901
ANA201705160,ump2b,iassd901
ANA201705160,ump3b,dimum901
ANA201705160,howscored,park
ANA201705160,pitches,pitches
ANA201705160,oscorer,munse701
ANA201705160,temp,63
ANA201705160,winddir,fromlf
ANA201705160,windspeed,8
ANA201705160,fieldcond,unknown
ANA201705160,precip,unknown
ANA201705160,sky,cloudy
ANA201705160,timeofgame,241
ANA201705160,attendance,36089
ANA201705160,wp,petiy001
ANA201705160,lp,robed002
ANA201705160,save,
ANA201705160,hometeam_score,5
ANA201705160,awayteam_score,6
ANA201705170,visteam,CHA
ANA201705170,hometeam,ANA
ANA201705170,site,ANA01
ANA201705170,date,2017/05/17
ANA201705170,number,0
ANA201705170,starttime,7:08PM
ANA201705170,daynight,night
ANA201705170,usedh,true
ANA201705170,umphome,gormb901
ANA201705170,ump1b,iassd901
ANA201705170,ump2b,dimum901
ANA201705170,ump3b,gibsh902
ANA201705170,howscored,park
ANA201705170,pitches,pitches
ANA201705170,oscorer,munse701
ANA201705170,temp,64
ANA201705170,winddir,tocf
ANA201705170,windspeed,8
ANA201705170,fieldcond,unknown
ANA201705170,precip,unknown
ANA201705170,sky,cloudy
ANA201705170,timeofgame,208
ANA201705170,attendance,33234
ANA201705170,wp,shoem001
ANA201705170,lp,gonzm003
ANA201705170,save,
ANA201705170,hometeam_score,12
ANA201705170,awayteam_score,7
ANA201705290,visteam,ATL
ANA201705290,hometeam,ANA
ANA201705290,site,ANA01
ANA201705290,date,2017/05/29
ANA201705290,number,0
ANA201705290,starttime,6:08PM
ANA201705290,daynight,night
ANA201705290,usedh,true
ANA201705290,umphome,herna901
ANA201705290,ump1b,tumpj901
ANA201705290,ump2b,libkj901
ANA201705290,ump3b,barrt901
ANA201705290,howscored,park
ANA201705290,pitches,pitches
ANA201705290,oscorer,munse701
ANA201705290,temp,69
ANA201705290,winddir,tocf
ANA201705290,windspeed,10
ANA201705290,fieldcond,unknown
ANA201705290,precip,unknown
ANA201705290,sky,cloudy
ANA201705290,timeofgame,170
ANA201705290,attendance,38251
ANA201705290,wp,tehej001
ANA201705290,lp,nolar001
ANA201705290,save,johnj010
ANA201705290,hometeam_score,3
ANA201705290,awayteam_score,6
ANA201705300,visteam,ATL
ANA201705300,hometeam,ANA
ANA201705300,site,ANA01
ANA201705300,date,2017/05/30
ANA201705300,number,0
ANA201705300,starttime,7:07PM
ANA201705300,daynight,night
ANA201705300,usedh,true
ANA201705300,umphome,tumpj901
ANA201705300,ump1b,libkj901
ANA201705300,ump2b,barrt901
ANA201705300,ump3b,herna901
ANA201705300,howscored,park
ANA201705300,pitches,pitches
ANA201705300,oscorer,johnc701
ANA201705300,temp,66
ANA201705300,winddir,fromlf
ANA201705300,windspeed,9
ANA201705300,fieldcond,unknown
ANA201705300,precip,unknown
ANA201705300,sky,cloudy
ANA201705300,timeofgame,167
ANA201705300,attendance,32028
ANA201705300,wp,bridp001
ANA201705300,lp,colob001
ANA201705300,save,
ANA201705300,hometeam_score,9
ANA201705300,awayteam_score,3
ANA201705310,visteam,ATL
ANA201705310,hometeam,ANA
ANA201705310,site,ANA01
ANA201705310,date,2017/05/31
ANA201705310,number,0
ANA201705310,starttime,7:08PM
ANA201705310,daynight,night
ANA201705310,usedh,true
ANA201705310,umphome,libkj901
ANA201705310,ump1b,barrt901
ANA201705310,ump2b,herna901
ANA201705310,ump3b,tumpj901
ANA201705310,howscored,park
ANA201705310,pitches,pitches
ANA201705310,oscorer,munse701
ANA201705310,temp,65
ANA201705310,winddir,torf
ANA201705310,windspeed,7
ANA201705310,fieldcond,unknown
ANA201705310,precip,unknown
ANA201705310,sky,overcast
ANA201705310,timeofgame,169
ANA201705310,attendance,35795
ANA201705310,wp,parkb001
ANA201705310,lp,vizca001
ANA201705310,save,norrb001
ANA201705310,hometeam_score,2
ANA201705310,awayteam_score,1
ANA201706010,visteam,MIN
ANA201706010,hometeam,ANA
ANA201706010,site,ANA01
ANA201706010,date,2017/06/01
ANA201706010,number,0
ANA201706010,starttime,7:08PM
ANA201706010,daynight,night
ANA201706010,usedh,true
ANA201706010,umphome,kellj901
ANA201706010,ump1b,fagac901
ANA201706010,ump2b,timmt901
ANA201706010,ump3b,littw901
ANA201706010,howscored,park
ANA201706010,pitches,pitches
ANA201706010,oscorer,munse701
ANA201706010,temp,71
ANA201706010,winddir,tocf
ANA201706010,windspeed,8
ANA201706010,fieldcond,unknown
ANA201706010,precip,unknown
ANA201706010,sky,sunny
ANA201706010,timeofgame,199
ANA201706010,attendance,33426
ANA201706010,wp,roget001
ANA201706010,lp,alvaj003
ANA201706010,save,kintb001
ANA201706010,hometeam_score,2
ANA201706010,awayteam_score,4
ANA201706020,visteam,MIN
ANA201706020,hometeam,ANA
ANA201706020,site,ANA01
ANA201706020,date,2017/06/02
ANA201706020,number,0
ANA201706020,starttime,7:09PM
ANA201706020,daynight,night
ANA201706020,usedh,true
ANA201706020,umphome,fagac901
ANA201706020,ump1b,timmt901
ANA201706020,ump2b,littw901
ANA201706020,ump3b,kellj901
ANA201706020,howscored,park
ANA201706020,pitches,pitches
ANA201706020,oscorer,munse701
ANA201706020,temp,76
ANA201706020,winddir,torf
ANA201706020,windspeed,8
ANA201706020,fieldcond,unknown
ANA201706020,precip,unknown
ANA201706020,sky,sunny
ANA201706020,timeofgame,199
ANA201706020,attendance,39042
ANA201706020,wp,gibsk002
ANA201706020,lp,ramij002
ANA201706020,save,
ANA201706020,hometeam_score,2
ANA201706020,awayteam_score,11
ANA201706030,visteam,MIN
ANA201706030,hometeam,ANA
ANA201706030,site,ANA01
ANA201706030,date,2017/06/03
ANA201706030,number,0
ANA201706030,starttime,7:08PM
ANA201706030,daynight,night
ANA201706030,usedh,true
ANA201706030,umphome,timmt901
ANA201706030,ump1b,littw901
ANA201706030,ump2b,kellj901
ANA201706030,ump3b,fagac901
ANA201706030,howscored,park
ANA201706030,pitches,pitches
ANA201706030,oscorer,munse701
ANA201706030,temp,69
ANA201706030,winddir,fromlf
ANA201706030,windspeed,9
ANA201706030,fieldcond,unknown
ANA201706030,precip,unknown
ANA201706030,sky,sunny
ANA201706030,timeofgame,198
ANA201706030,attendance,40236
ANA201706030,wp,shoem001
ANA201706030,lp,sante001
ANA201706030,save,
ANA201706030,hometeam_score,7
ANA201706030,awayteam_score,2
ANA201706040,visteam,MIN
ANA201706040,hometeam,ANA
ANA201706040,site,ANA01
ANA201706040,date,2017/06/04
ANA201706040,number,0
ANA201706040,starttime,12:38PM
ANA201706040,daynight,day
ANA201706040,usedh,true
ANA201706040,umphome,littw901
ANA201706040,ump1b,kellj901
ANA201706040,ump2b,fagac901
